Country Code,Gdp-CO2,Ginindex-CO2,Lawindex-CO2,Politicalstab-CO2,Gdp-Ginindex,Gdp-Lawindex,Gdp-Politicalstab,Ginindex-Lawindex,Ginindex-Politicalstab,Politicalstab-Lawindex
SRB,-0.238,-0.476,-0.274,-0.411,-0.011,-0.383,-0.554,-0.250,0.487,0.495
SSD,-0.239,,-0.8,-0.668,,0.141,0.063,,,0.874
STP,-0.179,0.959,0.127,0.85,-0.326,0.270,0.201,0.124,0.799,0.401
SVK,-0.017,0.588,-0.54,0.398,-0.025,0.139,0.512,-0.454,0.556,-0.473
SVN,0.278,-0.023,-0.294,0.818,-0.353,0.360,-0.013,-0.013,0.113,-0.490
SWE,-0.053,-0.915,0.337,0.907,0.105,0.373,-0.016,-0.153,-0.921,0.181
SWZ,-0.478,0.766,0.127,0.218,-0.090,-0.317,-0.375,0.257,-0.270,-0.290
SYC,0.188,-0.983,0.379,0.245,-0.167,0.182,-0.040,-0.363,-0.245,-0.025
SYR,0.489,,0.863,0.851,,0.177,0.322,,,0.852
TCD,0.107,-0.592,0.683,0.486,0.654,-0.070,-0.037,-0.552,-0.223,0.522
TGO,0.146,0.242,0.362,-0.164,0.568,-0.134,0.364,-0.662,0.662,-0.671
THA,0.228,-0.906,-0.278,-0.291,-0.078,-0.447,-0.445,0.071,0.016,0.930
TJK,-0.329,0.736,-0.286,0.794,-0.310,0.193,-0.127,0.128,0.430,-0.300
TLS,-0.354,0.89,0.191,0.872,-0.206,0.511,-0.171,0.243,0.907,0.377
TON,-0.06,-0.144,0.454,-0.205,-0.225,-0.097,0.439,-0.547,-0.705,0.521
TUN,0.257,-0.938,-0.091,-0.904,-0.138,-0.572,-0.185,0.080,0.922,0.277
TUR,0.04,0.295,-0.883,-0.722,-0.535,0.339,-0.150,-0.504,-0.344,0.634
TUV,0.319,,0.256,0.367,,0.551,-0.366,,,0.076
TZA,0.031,0.568,-0.552,-0.507,-0.130,0.168,0.158,-0.135,-0.676,-0.067
UGA,-0.041,-0.531,0.693,0.855,-0.238,-0.049,-0.032,-0.566,-0.562,0.814
UKR,0.265,0.499,-0.167,0.831,-0.322,0.249,0.532,0.092,0.385,0.098
URY,0.341,-0.018,0.043,-0.57,-0.468,0.076,-0.176,0.072,-0.555,0.070
USA,0.011,0.313,0.542,0.132,-0.290,-0.408,-0.504,0.513,0.482,0.761
UZB,-0.456,-0.332,-0.545,-0.628,0.049,-0.121,0.310,0.288,0.121,0.694
VEN,0.689,0.029,0.461,0.741,-0.431,-0.102,0.585,0.684,-0.167,0.085
VNM,0.126,-0.054,0.777,-0.754,0.151,-0.078,-0.193,-0.347,-0.026,-0.410
VUT,-0.011,-0.262,-0.085,-0.438,0.076,0.275,0.610,-0.234,0.421,0.001
WSM,0.238,-0.766,-0.05,0.267,-0.024,-0.645,-0.372,0.166,-0.221,0.640
YEM,0.366,-0.587,0.906,0.522,0.386,0.301,-0.361,-0.728,-0.930,0.672
ZAF,0.303,-0.63,-0.156,0.122,-0.178,0.343,0.094,0.246,0.332,0.258
ZMB,-0.166,0.585,-0.061,-0.475,0.117,0.541,0.687,-0.130,0.098,0.079
ZWE,0.28,-0.831,-0.608,0.655,-0.007,0.139,0.302,0.719,-0.705,-0.070
